#4FGL,logFG,GamG,Varib,Curve,XRT,logFX,GamX,filter,mV,Pbzr
J0406.2+0639,-11.59,2.35,14.84,0.32,J040607.7+063919,-12.48,2.07,w1,20.79,0.9998
J0409.2+2542,-11.58,2.09,7.66,1.13,J040921.6+254440,-12.19,2.12,uu,19.30,0.9997
J0427.8-6704,-11.07,2.39,13.10,0.32,J042749.5-670435,-11.81,-0.14,uu,18.14,0.9997
J0537.5+0959,-11.29,2.62,20.40,1.30,J053745.9+095759,-12.24,1.95,uu,20.75,0.9996
J0539.2-6333,-11.78,2.15,11.42,0.72,J054002.9-633216,-12.83,2.09,uu,18.44,0.9998
J0553.9-5048,-11.71,2.09,8.67,1.33,J055359.2-505150,-12.21,2.01,uu,21.11,0.9992
J0554.2-0259,-11.45,2.42,5.83,0.47,J055418.8-025842,-12.23,1.63,uu,21.24,0.9995
J0611.5-2918,-11.81,2.34,6.38,1.22,J061141.5-291623,-12.50,2.26,uu,21.41,0.9987
J0620.7-5034,-12.04,1.76,20.37,2.23,J062045.7-503350,-12.26,2.37,uu,19.93,0.9997
J0631.0+5626,-11.79,2.11,5.26,2.17,J063048.3+562831,-12.14,2.45,uu,19.76,0.9988
J0633.9+5840,-11.97,1.90,8.23,0.39,J063400.1+584036,-12.93,2.41,uu,21.97,0.9998
J0650.6+2055,-11.23,1.74,7.46,1.96,J065035.4+205557,-11.20,2.16,vv,17.05,0.9998
J0704.3-4829,-11.51,2.09,13.09,1.64,J070421.8-482645,-12.00,2.51,uu,19.52,0.9998
J0723.1-3048,-11.49,2.34,3.63,0.65,J072310.8-304758,-11.07,1.70,uu,20.87,0.9996
J0725.7-0549,-11.29,1.88,5.24,2.12,J072547.5-054830,-11.61,2.38,uu,19.15,0.9992
J0737.4+6535,-11.82,2.05,16.09,1.47,J073711.3+653348,-13.10,1.63,vv,20.07,0.9987
J0755.9-0515,-11.36,2.86,1.63,0.11,J075614.6-051720,-11.61,1.67,uu,20.45,0.9998
J0800.9+0733,-11.70,1.89,3.72,2.88,J080056.5+073235,-12.28,2.59,vv,18.54,0.9970
J0827.0-4111,-11.45,2.12,6.90,0.51,J082705.4-411159,-11.95,2.51,uu,21.17,0.9998
J0838.5+4013,-11.94,1.70,3.60,0.21,J083902.8+401548,-12.40,2.28,w2,20.38,0.9998
J0844.9-4117,-10.85,2.68,6.33,3.20,J084439.9-411642,-10.40,6.51,m2,14.68,0.9999
J0858.0-3130,-11.38,1.81,12.88,0.83,J085802.9-313046,-11.59,2.48,vv,18.32,0.9998
J0903.5+4057,-11.94,2.04,9.30,0.32,J090342.8+405503,-12.91,1.89,vv,19.29,0.9998
J0906.1-1011,-11.76,1.98,1.98,0.77,J090616.2-101430,-12.45,1.71,uu,20.43,0.9933
J0910.1-1816,-11.74,1.95,8.85,2.16,J091003.9-181613,-12.01,2.30,w1,20.31,0.9992
J0914.5+6845,-11.99,1.88,6.08,1.48,J091430.0+684509,-12.21,2.02,uu,20.04,0.9993
J0928.4-5256,-11.44,1.94,10.91,0.00,J092818.7-525701,-11.59,3.16,uu,20.17,0.9999
J0930.9-3030,-11.71,1.78,6.73,0.95,J093058.0-303118,-12.34,2.03,m2,19.95,0.9996
J0934.5+7223,-11.52,2.99,10.60,0.78,J093334.0+722101,-12.38,1.55,uu,19.15,0.9996
J0938.8+5155,-11.91,1.98,10.82,1.07,J093835.0+515455,-12.54,0.73,m2,20.30,0.9963
J1008.1-5706,-10.40,2.75,3.19,3.33,J100829.1-571242,-11.05,3.96,uu,20.21,0.9987
J1015.5-6030,-10.73,2.79,4.76,2.36,J101545.8-602939,-11.44,3.23,uu,20.78,0.9984
J1016.1-4247,-11.40,1.81,9.64,2.79,J101620.8-424723,-11.97,2.54,uu,18.57,0.9995
J1016.2-5729,-10.86,2.51,9.66,1.33,J101625.7-572807,-11.23,1.35,uu,18.39,0.9995
J1018.1-2705,-11.47,2.52,7.02,2.27,J101750.2-270550,-11.76,1.61,uu,18.80,0.9974
J1024.5-4543,-11.55,1.89,8.16,0.96,J102432.6-454428,-11.50,2.41,uu,19.33,0.9998
J1024.5-5329,-11.85,1.74,9.88,3.24,J102428.3-532806,-11.40,2.30,w2,21.22,0.9988
J1034.7-4645,-11.73,2.13,9.92,0.52,J103438.7-464405,-11.49,2.03,w1,21.31,0.9998
J1047.2+6740,-12.03,1.96,17.73,0.53,J104705.6+673806,-12.34,2.02,w1,21.34,0.9998
J1048.4-5030,-11.83,1.66,5.91,1.27,J104824.2-502941,-12.52,3.02,bb,18.93,0.9998
J1049.8+2741,-11.77,2.00,11.34,0.65,J104938.8+274217,-12.46,2.60,bb,18.65,0.9998
J1058.4-6625,-11.33,1.93,8.91,1.76,J105833.1-662607,-12.09,1.77,uu,21.38,0.9921
J1106.7+3623,-11.65,2.79,30.30,0.61,J110636.7+362648,-12.50,1.06,uu,19.31,0.9998
J1111.4+0137,-11.78,2.28,2.75,0.29,J111114.2+013431,-11.66,1.92,uu,20.51,0.9998
J1114.6+1225,-11.78,2.30,6.55,2.20,J111436.7+122718,-12.64,2.54,uu,21.06,0.9944
J1119.9-1007,-11.69,2.19,18.56,1.83,J111948.2-100704,-12.38,1.88,uu,19.52,0.9996
J1122.0-0231,-11.59,2.44,4.75,1.60,J112213.8-022916,-12.00,2.41,uu,18.72,0.9995
J1123.8-4552,-11.34,2.21,8.29,0.81,J112355.5-455019,-12.28,1.21,w1,19.01,0.9994
J1146.0-0638,-11.46,1.75,5.11,1.44,J114600.8-063851,-12.00,2.13,uu,19.70,0.9992
J1155.2-1111,-11.75,1.92,9.12,1.42,J115514.7-111125,-12.29,1.80,uu,21.14,0.9985
J1220.1-2458,-11.58,1.88,8.77,0.79,J122014.5-245949,-11.54,1.92,uu,19.86,0.9998
J1224.6+7011,-11.41,3.01,9.72,1.00,J122457.2+700729,-12.47,2.07,uu,16.06,0.9998
J1239.7-3455,-11.61,2.67,10.37,0.00,J123934.1-345429,-12.06,1.72,uu,21.52,0.9999
J1243.7+1727,-11.92,1.87,1.50,1.01,J124351.6+172643,-12.94,2.86,uu,19.72,0.9983
J1250.9-4943,-11.22,2.11,20.98,2.07,J125058.5-494444,-12.53,2.35,w2,21.98,0.9983
J1256.8+5329,-11.35,2.64,5.01,0.88,J125630.4+533203,-12.55,1.66,uu,19.19,0.9985
J1320.3-6410,-11.24,2.60,14.06,3.74,J132016.9-641353,-9.00,8.19,uu,17.93,0.9999
J1357.3-6123,-10.77,2.62,7.88,5.37,J135657.9-612313,-11.14,3.63,m2,20.75,0.9985
J1401.7-3217,-11.61,2.14,27.08,1.31,J140200.0-321844,-12.51,2.26,uu,20.52,0.9998
J1415.9-1504,-11.68,2.12,11.09,1.46,J141546.1-150229,-12.23,2.48,w1,19.50,0.9997
J1429.8-0739,-11.95,2.31,3.32,3.04,J142949.7-073302,-12.14,1.87,uu,17.58,0.9901
J1514.8+4448,-11.13,2.36,56.34,3.43,J151451.0+444957,-12.84,1.42,vv,19.22,0.9969
J1528.4+2004,-11.90,2.02,7.88,0.28,J152836.0+200424,-12.08,1.94,uu,20.80,0.9998
J1545.0-6642,-11.37,1.74,2.78,0.18,J154459.0-664148,-11.01,2.11,uu,18.37,0.9998
J1557.2+3822,-12.05,1.95,8.29,1.51,J155711.9+382032,-12.54,2.27,uu,21.45,0.9990
J1623.7-2315,-11.33,2.37,7.72,0.79,J162334.1-231750,-11.72,1.13,uu,18.57,0.9996
J1631.8+4144,-11.87,1.78,11.29,0.79,J163146.7+414634,-12.37,2.45,uu,19.31,0.9998
J1639.8-4642,-10.24,2.51,3.14,3.83,J163946.2-464058,-9.48,8.73,uu,17.46,0.9999
J1644.8+1850,-11.61,1.99,9.12,2.37,J164457.3+185149,-12.50,2.26,uu,19.34,0.9986
J1645.0+1654,-11.66,2.21,8.37,0.76,J164500.0+165510,-12.14,2.34,uu,19.57,0.9998
J1648.7+4834,-11.89,2.14,8.53,1.00,J164900.4+483417,-12.33,2.28,uu,19.60,0.9998
J1650.9-4420,-10.59,2.59,4.96,4.18,J165124.2-442142,-7.39,10.00,m2,20.23,0.9999
J1651.7-7241,-11.87,2.04,2.03,0.40,J165151.5-724310,-11.98,1.17,uu,20.64,0.9992
J1706.5-4023,-10.54,2.55,13.11,2.85,J170633.3-402544,-8.46,9.03,w1,18.48,0.9999
J1719.1-5348,-11.44,2.16,6.11,0.12,J171856.6-535042,-11.22,1.76,vv,19.46,0.9998
J1720.6-5144,-11.54,2.16,7.02,1.47,J172032.7-514413,-11.14,1.87,uu,19.70,0.9997
J1752.0+3606,-11.90,1.95,10.88,1.95,J175209.6+360632,-12.20,1.76,uu,19.55,0.9992
J1817.2-3035,-11.05,2.26,9.39,1.32,J181720.4-303257,-11.71,1.80,w1,21.75,0.9979
J1818.5+2533,-11.36,2.67,9.96,1.79,J181830.9+253707,-12.62,1.25,uu,16.99,0.9980
J1820.4-1609,-10.25,2.61,10.37,0.78,J182029.6-161044,-11.08,1.94,bb,16.66,0.9998
J1848.7-6307,-11.98,1.95,5.40,0.27,J184838.3-630544,-12.49,1.84,uu,20.06,0.9998
J1856.1-1222,-11.19,2.18,10.50,1.17,J185606.7-122149,-11.79,1.92,uu,20.74,0.9995
J1918.0+0331,-11.44,1.79,14.45,1.38,J191803.6+033030,-11.91,2.46,w1,21.08,0.9997
J1927.5+0154,-11.50,1.89,16.83,1.16,J192731.3+015357,-11.86,2.35,uu,19.78,0.9998
J1955.3-5032,-11.59,2.47,13.03,1.22,J195512.5-503012,-11.98,2.14,uu,20.33,0.9997
J2008.4+1619,-11.60,2.10,8.76,1.73,J200827.6+161844,-11.83,2.08,uu,20.49,0.9993
J2027.0+3343,-11.50,1.77,2.96,1.04,J202658.7+334303,-10.96,1.56,uu,19.94,0.9994
J2030.5+2235,-11.75,1.78,9.27,2.45,J203031.2+223435,-12.42,2.10,uu,21.11,0.9918
J2041.1-6138,-11.58,2.21,7.30,0.87,J204112.0-613952,-12.34,2.17,uu,18.98,0.9997
J2046.9-5409,-11.77,2.01,9.84,1.07,J204700.5-541246,-12.38,1.85,w1,20.08,0.9996
J2058.5-1833,-12.09,1.25,7.64,0.59,J205836.5-183102,-12.62,1.17,vv,19.51,0.9997
J2109.6+3954,-11.42,1.61,11.90,3.23,J210936.4+395513,-11.85,3.29,uu,21.16,0.9995
J2114.9-3326,-11.48,2.25,8.92,0.61,J211452.0-332532,-11.69,2.24,uu,19.30,0.9998
J2159.6-4620,-11.54,1.68,13.82,0.80,J215935.9-461954,-12.34,2.72,uu,18.82,0.9998
J2207.1+2222,-11.89,1.87,14.48,0.06,J220704.3+222234,-12.45,2.52,uu,19.91,0.9999
J2222.9+1507,-11.91,1.91,6.46,1.86,J222253.9+151052,-12.58,2.24,uu,18.88,0.9992
J2225.8-0804,-11.67,1.99,11.40,0.80,J222552.9-080416,-12.42,1.83,uu,20.56,0.9997
J2237.2-6726,-11.72,1.99,10.90,0.66,J223709.3-672614,-12.01,1.90,uu,20.32,0.9998
J2240.3-5241,-11.24,2.07,15.19,1.09,J224017.5-524117,-12.71,1.84,uu,18.54,0.9997
J2247.7-5857,-11.68,2.57,6.07,0.53,J224745.0-585501,-12.31,2.61,uu,20.60,0.9998
J2303.9+5554,-11.65,1.78,9.08,1.62,J230351.7+555618,-11.50,1.93,uu,20.76,0.9995
J2311.6-4427,-11.83,2.24,8.93,1.31,J231145.6-443221,-12.72,2.76,uu,19.33,0.9997
J2317.7+2839,-11.48,1.96,20.83,0.64,J231740.0+283954,-12.94,2.30,vv,19.44,0.9998
J2326.9-4130,-11.55,2.73,10.51,0.61,J232653.2-412713,-12.44,2.00,m2,17.25,0.9998
J2331.6+4430,-11.91,1.98,11.81,0.43,J233129.6+443101,-12.49,2.04,uu,21.30,0.9998
J2336.9-8427,-11.75,2.01,8.00,0.00,J233627.1-842648,-12.11,2.02,uu,20.06,0.9999
J2337.7-2903,-11.92,2.15,3.20,1.82,J233730.2-290241,-12.06,2.42,uu,19.97,0.9982
J2347.9-5106,-11.08,2.53,59.61,0.42,J234804.2-510748,-12.54,0.73,uu,22.29,0.9997
J0251.1-1830,-11.71,1.62,5.06,3.70,J025111.4-183114,-12.20,1.98,uu,20.18,0.7902
J0341.9+3153,-11.05,2.47,8.89,1.49,J034158.1+314850,-11.75,0.33,uu,21.14,0.5278
J0407.7-5702,-11.80,2.41,3.32,1.47,J040731.2-570022,-12.06,1.50,uu,21.65,0.8723
J0502.2+3016,-11.74,1.96,6.27,2.38,J050212.7+301934,-11.56,1.44,uu,20.59,0.9854
J0540.7+3611,-11.34,2.55,6.84,4.10,J054046.9+361657,-11.86,1.31,uu,20.63,0.1307
J0622.5+3120,-11.60,2.60,9.98,3.05,J062254.0+312037,-11.94,1.50,uu,20.34,0.9621
J0624.7-4903,-11.64,2.62,3.95,1.50,J062419.5-490639,-12.55,2.04,m2,20.59,0.9813
J0700.2-5118,-11.73,2.16,1.23,1.62,J070033.8-512011,-11.84,1.86,w2,19.52,0.9215
J0838.7-2827,-11.06,2.12,5.84,6.48,J083843.4-282701,-11.29,1.69,w1,17.40,0.8690
J0859.2-4729,-10.71,2.54,6.94,3.88,J085905.7-473041,-11.41,1.72,uu,19.86,0.7309
J1126.0-5007,-11.83,2.13,5.98,4.58,J112624.9-500808,-11.84,1.67,vv,18.29,0.9657
J1312.6-6231,-11.03,2.43,2.16,3.54,J131230.7-623430,-11.95,1.14,uu,17.57,0.0449
J1410.7+7405,-11.42,1.86,9.17,4.15,J141044.9+740511,-12.83,2.30,uu,18.74,0.9651
J1441.4-1934,-11.69,1.80,3.76,3.27,J144127.7-193549,-12.06,2.26,uu,19.67,0.9632
J1619.4-5106,-10.60,2.33,1.71,2.12,J161935.6-510613,-12.05,2.45,w1,20.39,0.3222
J1627.7+3219,-11.47,2.15,6.98,6.60,J162743.0+322102,-12.47,2.39,uu,17.42,0.9413
J1700.2-4237,-10.59,2.74,5.15,4.26,J165955.9-423023,-12.20,1.58,uu,19.91,0.0205
J1701.3-4924,-11.20,2.48,5.55,2.51,J170136.3-492402,-12.18,1.55,uu,20.48,0.5348
J1733.4+2235,-11.90,2.16,4.61,4.06,J173330.6+223615,-12.58,1.94,uu,19.51,0.5335
J1734.0-2933,-11.11,2.39,4.99,3.74,J173411.0-293117,-12.08,2.06,w1,20.91,0.2448
J1750.8-3106,-11.45,2.38,5.82,3.76,J175052.3-310255,-12.40,1.45,vv,19.40,0.2285
J1836.9+4439,-11.93,1.82,8.62,1.59,J183703.6+443812,-12.13,0.78,w1,21.18,0.9567
J1904.7-0708,-10.88,2.46,17.00,6.85,J190444.5-070743,-12.23,2.23,uu,20.36,0.5493
J1948.9+3414,-11.60,2.28,11.41,4.39,J194916.8+341050,-11.82,1.40,uu,18.88,0.9720
J2012.1-5234,-11.75,1.80,2.94,2.26,J201213.8-523246,-11.86,1.80,uu,19.60,0.9723
J2021.9+3609,-11.66,1.57,6.09,2.80,J202201.1+361106,-12.17,1.98,uu,20.77,0.9538
J2056.4+4351,-10.84,2.64,2.77,3.55,J205551.3+435220,-10.74,2.59,m2,21.05,0.9364
J2105.9+7508,-11.42,2.22,2.47,1.26,J210606.8+750924,-12.38,2.02,uu,21.49,0.8837
